trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-416.17363707544035,"{0: 77, 1: 13, 2: 23, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-79,-551.8959138793856,"{0: 57, 1: 13, 2: 17, 3: 4, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-100,-837.1038007574391,"{0: 66, 1: 18, 2: 30, 3: 5, 4: 11}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,-26,-304.68321020370325,"{0: 31, 1: 6, 2: 14, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-42,-495.2049419856516,"{0: 33, 1: 11, 2: 12, 3: 4, 4: 7}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-100,-870.107267295052,"{0: 60, 1: 10, 2: 34, 3: 4, 4: 12}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,-21,-486.5915589556629,"{0: 22, 1: 2, 2: 15, 3: 6, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-37,-284.43808914329946,"{0: 37, 1: 2, 2: 12, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-38,-673.2146791682754,"{0: 23, 1: 2, 2: 18, 3: 4, 4: 11}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,-27,-349.6736496033613,"{0: 27, 1: 3, 2: 20, 3: 5, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-100,-925.0772799093701,"{0: 60, 1: 6, 2: 37, 3: 4, 4: 13}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-100,-959.3304189227318,"{0: 57, 1: 7, 2: 39, 3: 4, 4: 13}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,-52.09231075644212,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,-100,-1119.4264061153806,"{0: 59, 1: 5, 2: 44, 3: 8, 4: 14}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-100,-769.1006446554688,"{0: 59, 1: 4, 2: 43, 3: 8, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,-35,-437.83153406165457,"{0: 28, 1: 1, 2: 15, 3: 6, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-97,-1134.022529102538,"{0: 50, 1: 4, 2: 39, 3: 8, 4: 16}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-100,-1112.803255012003,"{0: 57, 1: 1, 2: 38, 3: 8, 4: 16}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-100,-1220.4778163640533,"{0: 57, 1: 0, 2: 43, 3: 7, 4: 18}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,-100,-1290.68705223896,"{0: 48, 1: 1, 2: 44, 3: 8, 4: 19}",0
1,True,"{'a': 0, 'e': 0}",20,-100,-1396.9963308606827,"{0: 45, 1: 1, 2: 45, 3: 8, 4: 21}",0
2,True,"{'a': 0, 'e': 0}",30,-100,-1193.818051665602,"{0: 55, 1: 0, 2: 47, 3: 16, 4: 12}",0
3,True,"{'a': 0, 'e': 0}",20,-100,-1193.8109030976404,"{0: 45, 1: 0, 2: 50, 3: 12, 4: 13}",0
4,True,"{'a': 0, 'e': 0}",20,-100,-1238.4914045862658,"{0: 48, 1: 1, 2: 44, 3: 11, 4: 16}",0
5,True,"{'a': 0, 'e': 0}",30,-100,-1273.6710598451864,"{0: 49, 1: 2, 2: 54, 3: 11, 4: 14}",0
6,True,"{'a': 0, 'e': 0}",20,-100,-1015.0744516496268,"{0: 53, 1: 2, 2: 45, 3: 9, 4: 11}",0
7,True,"{'a': 0, 'e': 0}",20,-100,-1179.4431425420228,"{0: 48, 1: 1, 2: 49, 3: 7, 4: 15}",0
8,True,"{'a': 0, 'e': 0}",20,-100,-1324.752201887936,"{0: 49, 1: 0, 2: 41, 3: 11, 4: 19}",0
9,True,"{'a': 0, 'e': 0}",25,-100,-1145.469753037302,"{0: 50, 1: 0, 2: 53, 3: 10, 4: 12}",0
10,True,"{'a': 0, 'e': 0}",30,-100,-1161.945301957433,"{0: 54, 1: 1, 2: 53, 3: 9, 4: 13}",0
