trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-33,-377.1313227146605,"{0: 31, 1: 10, 2: 9, 3: 2, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,2,-45.06167861247746,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",35,-69,-280.0348667248713,"{0: 68, 1: 19, 2: 12, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-641.2748679048843,"{0: 76, 1: 13, 2: 22, 3: 5, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-530.1490992175751,"{0: 80, 1: 12, 2: 28, 3: 5, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-749.2020375568495,"{0: 73, 1: 13, 2: 23, 3: 4, 4: 12}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-492.1045676062808,"{0: 75, 1: 16, 2: 19, 3: 4, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-491.2153150910149,"{0: 69, 1: 18, 2: 26, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-100,-606.3340292630661,"{0: 75, 1: 15, 2: 22, 3: 5, 4: 8}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-18,-245.12790840829908,"{0: 19, 1: 4, 2: 9, 3: 4, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-642.1859163794638,"{0: 65, 1: 14, 2: 31, 3: 3, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,8,-31.56521922014708,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,-13,-84.82366759782713,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-707.333726511129,"{0: 62, 1: 14, 2: 30, 3: 7, 4: 7}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-100,-870.7325738301067,"{0: 71, 1: 15, 2: 24, 3: 7, 4: 13}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-572.9479529927127,"{0: 73, 1: 14, 2: 18, 3: 9, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,-87,-485.9296513996407,"{0: 78, 1: 8, 2: 26, 3: 5, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-77,-766.80186244006,"{0: 50, 1: 12, 2: 18, 3: 4, 4: 13}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-538.2694730487968,"{0: 78, 1: 12, 2: 24, 3: 5, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-784.8555534406837,"{0: 72, 1: 14, 2: 23, 3: 3, 4: 13}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-615.0438889129628,"{0: 67, 1: 15, 2: 27, 3: 4, 4: 7}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-18,-236.6043628219204,"{0: 25, 1: 6, 2: 14, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-13,-344.40416270789495,"{0: 20, 1: 1, 2: 9, 3: 2, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-90,-451.13631592861935,"{0: 69, 1: 16, 2: 20, 3: 6, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-641.2384516783728,"{0: 70, 1: 11, 2: 30, 3: 9, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-42,-290.0617025961566,"{0: 41, 1: 6, 2: 9, 3: 0, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-22,-170.41126431141527,"{0: 27, 1: 9, 2: 8, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-713.4613151928204,"{0: 67, 1: 22, 2: 25, 3: 0, 4: 11}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-41,-153.8217194904112,"{0: 43, 1: 10, 2: 12, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-692.6340585460168,"{0: 70, 1: 15, 2: 25, 3: 7, 4: 8}",0
