trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-61.28776974254342,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-186.0948921427068,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-77.10717545115861,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-124.91417993922728,"{0: 8, 1: 3, 2: 6, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-119.31249136802529,"{0: 22, 1: 2, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-173.2631720240897,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,3,-136.51001800065225,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-164.5721607205112,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,4,-42.03975170840772,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-127.42420618715607,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-59.817075261754496,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-95.17934055313108,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,1,-72.76188898169468,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-71.2374864451708,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,25.489859030913127,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-73.00639320880857,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-10.602320788416442,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-22.656336901822588,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-11.205582308481368,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,17,12.66184377189975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,14,9.922927896620378,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,3.1934625103521745,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,1.107668526361363,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-66.37986414303775,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,15,16.738358622289844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,-40.92660978530924,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,9,6.184074075320824,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,28.268596929188853,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-45.14343231312282,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-77.74456281071564,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",1
