trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.999}",25,0,-166.64934012200973,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.4, 'e': 0.998}",20,0,-92.3668676895284,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.997}",20,0,-103.0886841327349,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.996}",30,0,-99.1540242890712,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.995}",20,0,-99.1384190094787,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.994}",20,12,-70.5048417366175,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.4, 'e': 0.993}",25,0,-172.38336893853673,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.992}",30,0,-249.7957938782022,"{0: 12, 1: 6, 2: 7, 3: 2, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.991}",20,0,-64.55055152977825,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.99}",25,0,-131.78248304194858,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.989}",20,0,-40.76589311685255,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.988}",20,0,-127.5495215631778,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.987}",25,0,-133.2023589440859,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.986}",25,0,-287.8415249150945,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 5}",0
15,False,"{'a': 0.4, 'e': 0.985}",20,0,-120.11638607522364,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.984}",25,0,-87.77556925363055,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.983}",25,0,-190.35511598800377,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
18,False,"{'a': 0.4, 'e': 0.982}",30,2,-54.35574056730047,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.981}",35,0,-95.58116304302405,"{0: 22, 1: 9, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.98}",20,0,-167.7635614647713,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.979}",20,14,-8.017463572152032,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.4, 'e': 0.978}",25,0,-126.60523591194642,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.977}",25,0,-179.47962831686476,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.4, 'e': 0.976}",25,0,-138.2100846750727,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
